申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,登記日期
買賣,車位,1,1,1,,,,有,住宅大樓(11層含以上有電梯),"580,000",,,"580,000",有,1100623,,5,三塊厝段二小段,2.71,第二種特定商業專用區,,,21.45,無建物主要用途資料,無建物主要建材,,,,,"580,000",21.45,自立一路85巷10號等公共設施,三民區,三塊厝段二小段,13390000,,0801.僅車位交易,1100701
買賣,房地(土地+建物)+車位,1,1,2,3,2,3,有,住宅大樓(11層含以上有電梯),"29,000,000",,,"2,000,000",有,1100423,,7,前金段,17.12,第五種商業區,,,377.8,見其他登記事項,見其他登記事項,29,1090110,1,四層;,"2,000,000",69.84,民生二路90號四樓,前金區,前金段,3930000,12573000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"18,900,000",,,,有,1100519,,7,後金段,16.22,第五種商業區,,,254.77,見其他登記事項,見其他登記事項,15,1060508,4,三層;,0,14.42,成功一路412號三樓之1,前金區,後金段,390001,1422000,,1100701
買賣,房地(土地+建物),1,1,,2,0,2,有,華廈(10層含以下有電梯),"10,000,000",,,,有,1100505,,7,前金段,28.95,第二種特定商業專用區,,,153.51,住家用,鋼筋混凝土造,7,830815,27,一層;二層;騎樓;,,,瑞源路14號,前金區,前金段,880002,10094000,,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,華廈(10層含以下有電梯),"4,100,000",,,,有,1100603,,7,前金段,14.09,第四種住宅區,,,79.41,住家用,鋼筋混凝土造,7,810127,29,六層;,,,河南二路175號六樓之3,前金區,前金段,6870000,9227000,,1100701
買賣,房地(土地+建物)+車位,1,1,2,3,2,2,有,住宅大樓(11層含以上有電梯),"23,500,000",,,"3,600,000",有,1100404,,8,五塊厝段,23.27,第五種住宅區,,,266.59,住家用,鋼筋混凝土造,27,1040901,6,二十層;,0,36.7,河北路237號二十樓,苓雅區,五塊厝段,24700000,21874000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,,,,無,住宅大樓(11層含以上有電梯),"13,000,000",,,"1,800,000",有,1100406,,8,成功段,20.96,第二種商業區,,,138.83,見其他登記事項,見其他登記事項,12,1090901,1,九層;,"1,800,000",21.82,允文街120號九樓之3,苓雅區,成功段,5130000,2760000,,1100701
買賣,房地(土地+建物),1,1,,4,2,3,有,透天厝,"10,750,000",,,,無,1100403,,8,林德官段,76,第三種住宅區,,,149.19,無建物主要用途資料,加強磚造,3,630225,47,一層;二層;三層;騎樓;,,,尚仁街58號,苓雅區,林德官段,11390003,6366000,0302.頂樓加蓋0304.其他增建,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"6,500,000",,,,有,1100618,,8,過田子段,19.97,第五種商業區,,,218.46,無建物主要用途資料,鋼筋混凝土造,12,710430,39,六層;,0,0,三多三路218號六樓之4,苓雅區,過田子段,10830000,9328000,0201.親友、員工、共有人或其他特殊關係間之交易,1100701
買賣,房地(土地+建物),1,1,,3,2,2,有,住宅大樓(11層含以上有電梯),"4,800,000",,,,有,1100503,,8,意誠段,6.27,第五種商業區,,,107.22,住家用,鋼筋混凝土造,22,830910,27,十一層;電梯樓梯間;,,,中華四路104號11樓之1,苓雅區,意誠段,930000,3396000,,1100701
