申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,備註欄
買賣,房地(土地+建物),1,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"1,600,000",,,,有,1120920,3.08,其他-第四種商業區,,,23.87,無建物主要用途資料,鋼筋混凝土造,十一層;,0690618,43,十一層;,,,高雄市鹽埕區府北路３６號１１樓之２２,鹽埕區,府北段五小段,01460000,00467000,,附冰箱
買賣,房地(土地+建物),1,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,600,000",,,,有,1120918,3.03,其他-第四種商業區,,,24.47,住家用,鋼筋混凝土造,六層;,0790404,33,六層;,,,高雄市鹽埕區河西路１１８號六樓之４,鹽埕區,府北段五小段,01610000,01879000,0102.傢俱設備費,
買賣,建物,0,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,550,000",,,,有,1121010,,-,,,42.00,無建物主要用途資料,鋼筋混凝土造,十一層;,0750217,38,十一層;,,,高雄市鹽埕區七賢三路２６９號１１樓之３９,鹽埕區,鹽壽段,,00846000,0602.地上權房屋,
買賣,房地(土地+建物),1,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"1,500,000",,,,有,1121002,3.09,其他-第五種商業區,,,22.37,無建物主要用途資料,鋼筋混凝土造,九層;,0720523,40,九層;,,,高雄市鹽埕區莒光街２１９號９樓之３,鹽埕區,鹽新段,01940000,00379000,,
買賣,房地(土地+建物),1,1,,1,0,1,有,華廈(10層含以下有電梯),"1,500,000",,,,有,1121010,4.65,其他-第四種商業區,,,27.62,無建物主要用途資料,鋼筋混凝土造,三層;,0690806,43,三層;,,,高雄市鹽埕區新樂街６７號３樓之３,鹽埕區,大智段,06630000,01647000,,
買賣,房地(土地+建物),2,1,,2,2,1,有,公寓(5樓含以下無電梯),"1,500,000",,,,無,1121123,16.00,其他-第三種商業區,,,44.04,住家用,鋼筋混凝土造,四層;,0580528,54,四層;,,,高雄市鹽埕區必信街９２巷１９之６號,鹽埕區,大東段,05860000,00058000,0304.其他增建,
買賣,房地(土地+建物),1,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,430,000",,,,有,1121004,3.08,其他-第四種商業區,,,23.87,無建物主要用途資料,鋼筋混凝土造,六層;,0690618,43,六層;,,,高雄市鹽埕區府北路３６號６樓之２２,鹽埕區,府北段五小段,01460000,00338000,,附贈室內物品。
買賣,房地(土地+建物),1,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,400,000",,,,有,1121115,1.57,其他-第四種商業區,,,27.30,見其他登記事項,鋼筋混凝土造,十二層;,0691117,43,十二層;,,,高雄市鹽埕區府北路２０號１２樓之８,鹽埕區,府北段五小段,01890000,00668000,0304.其他增建,
買賣,房地(土地+建物),1,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,400,000",,,,有,1120924,1.31,其他-第四種商業區,,,23.82,無建物主要用途資料,鋼筋混凝土造,十一層;,0691117,43,十一層;,,,高雄市鹽埕區府北路２０號１１樓之１２,鹽埕區,府北段五小段,01890000,00654000,0301.陽台外推,
買賣,建物,0,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,390,000",,,,有,1121004,,-,,,24.36,無建物主要用途資料,鋼筋混凝土造,十二層;,0750217,38,十二層;,,,高雄市鹽埕區七賢三路２６９號１２樓之２２,鹽埕區,鹽壽段,,00733000,0102.傢俱設備費,
買賣,建物,0,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,350,000",,,,有,1120926,,-,,,29.79,無建物主要用途資料,鋼筋混凝土造,六層;,0750217,38,六層;,,,高雄市鹽埕區北斗街５號６樓之２８,鹽埕區,鹽壽段,,00474000,,
